ID,Stage,Builder,Start,End,Duration,Outcome
Project ID4,Validating,BZ,0,3,3,0
Project ID3,Validating,RC,0,7,7,0
Project ID0,Validating,RC,0,10,10,1
Project ID1,Validating,BZ,0,10,10,0
Project ID7,Validating,RC,7,10,3,0
Project ID8,Validating,RC,10,24,14,1
Project ID2,Validating,KB,0,25,25,1
Project ID12,Validating,KB,25,29,4,0
Project ID5,Validating,KB,0,31,31,1
Project ID14,Validating,KB,31,32,1,0
Project ID9,Validating,BZ,10,33,23,0
Project ID8,Recruiting,RC,24,35,11,1
Project ID10,Validating,RC,10,36,26,0
Project ID11,Validating,RC,24,36,12,0
Project ID15,Validating,KB,32,40,8,0
Project ID16,Validating,BZ,33,45,12,1
Project ID20,Validating,BZ,45,46,1,0
Project ID18,Validating,RC,36,49,13,1
Project ID19,Validating,KB,40,54,14,0
Project ID22,Validating,RC,49,54,5,0
Project ID6,Validating,BZ,3,56,53,0
Project ID17,Validating,RC,36,61,25,0
Project ID2,Recruiting,KB,25,64,39,1
Project ID24,Validating,RC,54,64,10,0
Project ID13,Validating,KB,29,67,38,0
Project ID27,Validating,RC,64,68,4,0
Project ID21,Validating,BZ,46,69,23,0
Project ID5,Recruiting,KB,31,70,39,1
Project ID0,Recruiting,RC,10,79,69,1
Project ID28,Validating,KB,67,80,13,0
Project ID29,Validating,RC,71,80,9,0
Project ID23,Validating,KB,54,83,29,0
Project ID26,Validating,RC,61,91,30,0
Project ID25,Validating,BZ,56,92,36,0
Project ID16,Recruiting,BZ,45,94,49,1
Project ID30,Validating,BZ,80,107,27,0
Project ID31,Validating,KB,89,111,22,0
Project ID33,Validating,KB,102,113,11,0
Project ID8,Building,RC,35,118,83,1
Project ID32,Validating,RC,95,119,24,0
Project ID18,Recruiting,RC,49,128,79,1
Project ID35,Validating,BZ,114,130,16,0
Project ID34,Validating,RC,107,132,25,1
Project ID36,Validating,BZ,119,141,22,0
Project ID5,Building,KB,70,149,79,1
Project ID37,Validating,KB,128,151,23,0
Project ID2,Building,KB,64,164,100,1
Project ID38,Validating,KB,134,164,30,0
Project ID39,Validating,RC,140,168,28,0
Project ID0,Building,RC,79,171,92,1
