,ID,Stage,Builder,Start,End,Duration,Outcome
0,Project ID2,Validating,KB,0,11,11,1
1,Project ID3,Validating,RC,0,11,11,1
2,Project ID9,Validating,KB,11,12,1,1
3,Project ID0,Validating,RC,0,15,15,1
4,Project ID6,Validating,RC,0,16,16,1
5,Project ID5,Validating,KB,0,19,19,0
6,Project ID11,Validating,KB,12,20,8,1
7,Project ID6,Recruiting,RC,16,25,9,1
8,Project ID15,Validating,KB,20,25,5,1
9,Project ID1,Validating,BZ,0,26,26,1
10,Project ID4,Validating,BZ,0,28,28,1
11,Project ID3,Recruiting,RC,11,29,18,0
12,Project ID10,Validating,RC,11,29,18,1
13,Project ID18,Validating,BZ,28,29,1,1
14,Project ID2,Recruiting,KB,11,30,19,0
15,Project ID7,Validating,BZ,0,31,31,1
16,Project ID16,Validating,KB,25,38,13,1
17,Project ID7,Recruiting,BZ,31,38,7,1
18,Project ID12,Validating,RC,15,39,24,1
19,Project ID13,Validating,RC,16,41,25,1
20,Project ID10,Recruiting,RC,29,42,13,1
21,Project ID8,Validating,KB,0,43,43,1
22,Project ID9,Recruiting,KB,12,44,32,1
23,Project ID21,Validating,BZ,31,44,13,1
24,Project ID1,Recruiting,BZ,26,45,19,0
25,Project ID22,Validating,KB,38,47,9,1
26,Project ID19,Validating,RC,29,50,21,1
27,Project ID15,Recruiting,KB,25,51,26,1
28,Project ID14,Validating,KB,19,52,33,1
29,Project ID20,Validating,BZ,29,54,25,1
30,Project ID0,Recruiting,RC,15,56,41,1
31,Project ID13,Recruiting,RC,41,59,18,1
32,Project ID27,Validating,KB,50,59,9,1
33,Project ID11,Recruiting,KB,20,61,41,1
34,Project ID25,Validating,KB,43,61,18,1
35,Project ID4,Recruiting,BZ,28,62,34,1
36,Project ID18,Recruiting,BZ,29,62,33,1
37,Project ID22,Recruiting,KB,47,63,16,1
38,Project ID28,Validating,RC,56,64,8,1
39,Project ID14,Recruiting,KB,52,65,13,1
40,Project ID29,Validating,KB,62,65,3,1
41,Project ID20,Recruiting,BZ,54,69,15,1
42,Project ID16,Recruiting,KB,38,72,34,1
43,Project ID30,Validating,BZ,71,72,1,0
44,Project ID17,Validating,BZ,26,73,47,1
45,Project ID23,Validating,RC,39,73,34,1
46,Project ID26,Validating,BZ,44,74,30,1
47,Project ID27,Recruiting,KB,59,77,18,1
48,Project ID29,Recruiting,KB,65,79,14,1
49,Project ID8,Recruiting,KB,43,82,39,1
50,Project ID17,Recruiting,BZ,73,82,9,1
51,Project ID24,Validating,RC,41,85,44,1
52,Project ID26,Recruiting,BZ,74,86,12,1
53,Project ID12,Recruiting,RC,39,90,51,1
54,Project ID6,Building,RC,25,95,70,1
55,Project ID24,Recruiting,RC,85,96,11,1
56,Project ID32,Validating,KB,87,97,10,1
57,Project ID25,Recruiting,KB,61,99,38,1
58,Project ID31,Validating,KB,80,99,19,1
59,Project ID23,Recruiting,RC,73,106,33,1
60,Project ID33,Validating,RC,96,107,11,1
61,Project ID19,Recruiting,RC,50,109,59,1
62,Project ID33,Recruiting,RC,107,113,6,1
63,Project ID36,Validating,BZ,116,117,1,1
64,Project ID7,Building,BZ,38,119,81,1
65,Project ID31,Recruiting,KB,99,121,22,0
66,Project ID21,Recruiting,BZ,44,125,81,0
67,Project ID35,Validating,BZ,110,126,16,1
68,Project ID10,Building,RC,42,127,85,1
69,Project ID0,Building,RC,56,129,73,0
70,Project ID15,Building,KB,51,133,82,1
71,Project ID38,Validating,BZ,133,134,1,0
72,Project ID34,Validating,KB,101,137,36,1
73,Project ID9,Building,KB,44,146,102,1
74,Project ID34,Recruiting,KB,137,146,9,1
75,Project ID11,Building,KB,61,153,92,1
76,Project ID4,Building,BZ,62,155,93,1
77,Project ID35,Recruiting,BZ,126,158,32,1
78,Project ID37,Validating,RC,125,159,34,1
79,Project ID18,Building,BZ,62,161,99,1
80,Project ID32,Recruiting,KB,97,164,67,1
81,Project ID28,Recruiting,RC,64,165,101,1
82,Project ID39,Validating,RC,142,165,23,1
83,Project ID41,Validating,KB,155,166,11,1
84,Project ID13,Building,RC,95,168,73,1
